date,symbol,price,prev_close,change_pct
2026-06-04,AAPL,310.26,315.0,-1.5
2026-06-04,TSLA,423.7,421.77,0.46
2026-06-04,GOOGL,358.99,362.3,-0.91
2026-06-04,MSFT,427.34,438.43,-2.53
2026-06-04,AMZN,250.02,256.43,-2.5
2026-06-04,NVDA,214.75,221.8,-3.18
2026-06-04,META,622.98,600.23,3.79
2026-06-04,AAPL,311.23,313.97,-0.87
2026-06-04,TSLA,418.45,420.25,-0.43
2026-06-04,GOOGL,372.19,357.95,3.98
2026-06-04,MSFT,428.05,426.6,0.34
2026-06-04,AMZN,253.79,251.25,1.01
2026-06-04,NVDA,218.66,214.26,2.05
2026-06-04,META,627.57,619.35,1.33
2026-06-05,AAPL,307.34,310.6,-1.05
2026-06-05,TSLA,391.0,416.19,-6.05
2026-06-05,GOOGL,368.53,370.73,-0.59
2026-06-05,MSFT,416.67,427.75,-2.59
2026-06-05,AMZN,246.03,253.21,-2.84
2026-06-05,NVDA,205.1,216.31,-5.18
2026-06-05,META,593.0,624.15,-4.99
2026-06-08,AAPL,301.54,307.78,-2.03
2026-06-08,TSLA,408.95,391.32,4.5
2026-06-08,GOOGL,363.31,364.35,-0.29
2026-06-08,MSFT,411.74,412.4,-0.16
2026-06-08,AMZN,245.22,245.8,-0.24
2026-06-08,NVDA,208.64,204.04,2.26
2026-06-08,META,585.39,589.82,-0.75
2026-06-09,AAPL,290.55,300.7,-3.38
2026-06-09,TSLA,396.68,408.87,-2.98
2026-06-09,GOOGL,364.26,363.25,0.28
2026-06-09,MSFT,403.41,410.98,-1.84
2026-06-09,AMZN,244.19,245.01,-0.33
2026-06-09,NVDA,208.19,207.65,0.26
2026-06-09,META,584.59,586.55,-0.33
2026-06-10,AAPL,291.58,291.1,0.17
2026-06-10,TSLA,381.59,395.89,-3.61
2026-06-10,GOOGL,356.38,363.61,-1.99
2026-06-10,MSFT,397.36,403.12,-1.43
2026-06-10,AMZN,238.0,243.87,-2.41
2026-06-10,NVDA,200.42,206.43,-2.91
2026-06-10,META,570.98,587.5,-2.81
2026-06-11,AAPL,295.63,290.83,1.65
2026-06-11,TSLA,399.15,378.8,5.37
2026-06-11,GOOGL,357.77,354.62,0.89
2026-06-11,MSFT,390.34,396.5,-1.55
2026-06-11,AMZN,241.51,236.08,2.3
2026-06-11,NVDA,204.87,199.2,2.85
2026-06-11,META,568.43,568.12,0.05
2026-06-12,AAPL,291.13,295.8,-1.58
2026-06-12,TSLA,406.43,399.0,1.86
2026-06-12,GOOGL,359.68,360.17,-0.14
2026-06-12,MSFT,390.74,392.73,-0.51
2026-06-12,AMZN,238.55,242.3,-1.55
2026-06-12,NVDA,205.19,205.98,-0.38
2026-06-12,META,566.98,572.84,-1.02
2026-06-15,AAPL,296.42,291.58,1.66
2026-06-15,TSLA,411.15,406.1,1.24
2026-06-15,GOOGL,369.35,360.87,2.35
2026-06-15,MSFT,399.76,390.68,2.32
2026-06-15,AMZN,246.02,238.65,3.09
2026-06-15,NVDA,212.45,205.42,3.42
2026-06-15,META,593.48,569.3,4.25
2026-06-16,AAPL,299.24,296.36,0.97
2026-06-16,TSLA,404.66,408.98,-1.06
2026-06-16,GOOGL,373.25,369.31,1.07
2026-06-16,MSFT,393.83,399.36,-1.38
2026-06-16,AMZN,246.0,248.23,-0.9
2026-06-16,NVDA,207.41,211.94,-2.14
2026-06-16,META,600.21,593.0,1.22
2026-06-17,AAPL,295.95,298.9,-0.99
2026-06-17,TSLA,396.38,402.84,-1.6
2026-06-17,GOOGL,363.79,371.97,-2.2
2026-06-17,MSFT,378.91,393.15,-3.62
2026-06-17,AMZN,237.5,245.77,-3.36
2026-06-17,NVDA,204.65,207.55,-1.4
2026-06-17,META,567.58,597.68,-5.04
2026-06-18,AAPL,298.01,297.14,0.29
2026-06-18,TSLA,400.49,397.75,0.69
2026-06-18,GOOGL,368.03,365.67,0.65
2026-06-18,MSFT,379.4,382.26,-0.75
2026-06-18,AMZN,244.39,239.4,2.08
2026-06-18,NVDA,210.69,206.3,2.13
2026-06-18,META,577.22,574.57,0.46
2026-06-19,AAPL,298.01,297.14,0.29
2026-06-19,TSLA,400.49,397.75,0.69
2026-06-19,GOOGL,368.03,365.67,0.65
2026-06-19,MSFT,379.4,382.26,-0.75
2026-06-19,AMZN,244.39,239.4,2.08
2026-06-19,NVDA,210.69,206.3,2.13
2026-06-19,META,577.22,574.57,0.46
2026-06-22,AAPL,297.01,297.2,-0.06
2026-06-22,TSLA,405.05,398.73,1.59
2026-06-22,GOOGL,349.68,366.2,-4.51
2026-06-22,MSFT,367.34,379.14,-3.11
2026-06-22,AMZN,232.79,243.05,-4.22
2026-06-22,NVDA,208.65,210.33,-0.8
2026-06-22,META,563.85,574.8,-1.91
2026-06-23,AAPL,294.3,295.65,-0.46
2026-06-23,TSLA,381.61,403.66,-5.46
2026-06-23,GOOGL,346.13,346.3,-0.05
2026-06-23,MSFT,373.94,368.34,1.52
2026-06-23,AMZN,234.11,233.03,0.46
2026-06-23,NVDA,200.04,207.82,-3.75
2026-06-23,META,562.2,562.61,-0.07
2026-06-24,AAPL,293.08,294.69,-0.55
2026-06-24,TSLA,375.53,382.46,-1.81
2026-06-24,GOOGL,345.29,348.17,-0.83
2026-06-24,MSFT,365.46,374.0,-2.28
2026-06-24,AMZN,234.27,233.6,0.29
2026-06-24,NVDA,199.0,200.9,-0.95
2026-06-24,META,557.67,561.9,-0.75
